2019-05-29 01:51:54.623606:  1366 (HY000): Incorrect integer value: 'abc' for column 'count_used' at row 1
2019-05-29 01:52:13.882795:  1366 (HY000): Incorrect integer value: 'abc' for column 'count_used' at row 1
2019-05-29 02:08:58.918951:  Not all parameters were used in the SQL statement
2019-05-29 02:09:46.508406:  Not all parameters were used in the SQL statement
2019-05-29 02:11:12.575584:  1146 (42S02): Table 'websim.combo' doesn't exist
2019-05-29 02:11:32.396884:  1265 (01000): Data truncated for column 'created_at' at row 1
2019-05-29 02:12:59.765920:  1406 (22001): Data too long for column 'settings' at row 1
2019-05-29 02:13:34.508953:  1406 (22001): Data too long for column 'grade' at row 1
2019-05-29 02:14:16.190934:  1406 (22001): Data too long for column 'submitted' at row 1
2019-05-30 13:41:27.425315: LOG    :  Python type Session cannot be converted
2019-05-30 13:41:32.255273: LOG    :  Python type Session cannot be converted
2019-05-30 13:41:36.973025: LOG    :  Python type Session cannot be converted
2019-05-30 13:41:41.873233: LOG    :  Python type Session cannot be converted
2019-05-30 13:46:39.622728: LOG    :  Python type Session cannot be converted
2019-05-30 13:46:45.150663: LOG    :  Python type Session cannot be converted
2019-05-30 13:46:50.693997: LOG    :  Python type Session cannot be converted
2019-05-30 13:46:56.315088: LOG    :  Python type Session cannot be converted
2019-05-30 13:47:01.936168: LOG    :  Python type Session cannot be converted
2019-05-30 13:47:07.465374: LOG    :  Python type Session cannot be converted
2019-05-30 13:47:13.124661: LOG    :  Python type Session cannot be converted
2019-05-30 13:47:18.753497: LOG    :  Python type Session cannot be converted
2019-05-30 13:47:24.280352: LOG    :  Python type Session cannot be converted
2019-05-30 13:47:29.829934: LOG    :  Python type Session cannot be converted
2019-05-30 13:47:35.399495: LOG    :  Python type Session cannot be converted
2019-05-30 13:47:40.932400: LOG    :  Python type Session cannot be converted
2019-05-30 13:47:46.545311: LOG    :  Python type Session cannot be converted
2019-05-30 13:47:52.074539: LOG    :  Python type Session cannot be converted
2019-05-30 13:47:57.654829: LOG    :  Python type Session cannot be converted
2019-05-30 13:48:03.183768: LOG    :  Python type Session cannot be converted
2019-05-30 13:48:08.813698: LOG    :  Python type Session cannot be converted
2019-05-30 13:48:14.448311: LOG    :  Python type Session cannot be converted
2019-05-30 13:48:20.389924: LOG    :  Python type Session cannot be converted
2019-05-30 13:48:26.324118: LOG    :  Python type Session cannot be converted
2019-05-30 13:48:32.169933: LOG    :  Python type Session cannot be converted
2019-05-30 13:48:38.109950: LOG    :  Python type Session cannot be converted
2019-05-30 13:48:43.969778: LOG    :  Python type Session cannot be converted
2019-05-30 13:48:49.878975: LOG    :  Python type Session cannot be converted
2019-05-30 13:48:55.731212: LOG    :  Python type Session cannot be converted
2019-05-30 13:49:01.667643: LOG    :  Python type Session cannot be converted
2019-05-30 13:49:07.524917: LOG    :  Python type Session cannot be converted
2019-05-30 13:49:13.389157: LOG    :  Python type Session cannot be converted
2019-05-30 13:49:19.235796: LOG    :  Python type Session cannot be converted
2019-05-30 13:49:25.089130: LOG    :  Python type Session cannot be converted
2019-05-30 13:49:30.933959: LOG    :  Python type Session cannot be converted
2019-05-30 13:49:36.802092: LOG    :  Python type Session cannot be converted
2019-05-30 13:49:42.651249: LOG    :  Python type Session cannot be converted
2019-05-30 13:49:48.562242: LOG    :  Python type Session cannot be converted
2019-05-30 13:49:55.131483: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:01.245078: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:01.924414: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:02.099298: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:02.195151: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:02.414656: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:02.840854: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:03.519571: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:03.552334: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:03.563411: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:03.877590: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:06.871968: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:07.568195: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:07.722109: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:07.836149: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:08.226956: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:08.469275: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:09.192633: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:09.252457: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:09.265278: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:09.985827: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:12.854952: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:13.188527: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:13.465665: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:13.507284: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:13.911123: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:14.102292: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:14.955585: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:14.968271: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:14.974010: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:15.653329: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:18.531580: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:18.808359: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:19.239391: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:19.659302: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:19.676801: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:19.748133: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:20.668120: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:20.709590: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:20.709846: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:21.313750: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:24.183139: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:24.468573: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:24.902107: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:25.457710: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:25.476560: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:25.483137: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:26.422545: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:26.446595: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:27.013208: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:27.208514: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:29.913306: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:30.127094: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:30.600127: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:31.255815: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:31.280125: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:31.297451: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:32.161116: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:32.166916: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:32.685940: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:32.850163: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:35.554523: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:35.762856: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:36.270149: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:36.913166: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:36.967224: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:36.973593: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:37.900299: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:37.962563: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:38.329153: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:38.522246: LOG    :  Python type Session cannot be converted
2019-06-02 22:49:41.200435: LOG    :  Python type Session cannot be converted
